Hero,Advantage,Win Rate,Matches
Meepo,5.82%,46.20%,"10,563"
Beastmaster,3.06%,53.54%,"2,585"
Phoenix,2.63%,49.54%,"10,971"
Death Prophet,2.58%,43.76%,"21,636"
Naga Siren,2.54%,49.96%,"5,669"
Necrophos,2.40%,47.02%,"36,971"
Broodmother,2.28%,53.27%,"3,597"
Underlord,2.26%,44.92%,"7,594"
Dark Seer,2.02%,45.44%,"5,511"
Abaddon,2.00%,41.31%,"37,651"
