Hero,Advantage,Win Rate,Matches
Templar Assassin,2.55%,48.89%,"15,537"
Phantom Assassin,1.57%,48.88%,"41,582"
Bristleback,1.40%,43.94%,"22,726"
Axe,1.10%,42.30%,"45,087"
Rubick,1.09%,49.60%,"41,199"
Tusk,1.02%,49.59%,"15,315"
Spirit Breaker,1.00%,46.08%,"53,209"
Windranger,0.86%,48.58%,"38,928"
Spectre,0.75%,44.15%,"33,761"
Mirana,0.74%,47.27%,"16,137"
