Item,Matches,Wins,Win Rate
Power Treads,"340,842","168,150",49.33%
Manta Style,"334,336","175,172",52.39%
Black King Bar,"219,919","110,405",50.20%
Mask of Madness,"206,256","92,261",44.73%
Aghanim's Shard,"186,704","101,254",54.23%
Butterfly,"179,671","113,745",63.31%
Wraith Band,"165,047","73,485",44.52%
Satanic,"114,938","72,677",63.23%
Hurricane Pike,"95,583","55,391",57.95%
Dragon Lance,"91,884","42,755",46.53%
Magic Wand,"75,874","34,510",45.48%
Aghanim's Scepter,"72,877","38,604",52.97%
