Hero,Advantage,Win Rate,Matches
Dark Seer,3.78%,43.39%,"4,284"
Shadow Demon,3.41%,48.97%,"4,092"
Medusa,3.17%,44.76%,"9,719"
Bristleback,3.14%,46.26%,"14,051"
Spectre,2.97%,46.01%,"26,160"
Underlord,2.84%,43.69%,"5,603"
Elder Titan,2.14%,47.45%,"1,977"
Leshrac,2.05%,50.72%,"2,719"
Batrider,1.94%,54.62%,"2,481"
Nyx Assassin,1.78%,46.96%,"17,348"
