Hero,Advantage,Win Rate,Matches
Slardar,3.16%,50.40%,"28,408"
Night Stalker,2.91%,52.45%,"8,641"
Anti-Mage,2.68%,50.92%,"29,251"
Naga Siren,2.65%,53.98%,"4,224"
Riki,2.39%,49.64%,"13,434"
Lycan,2.23%,54.45%,"2,000"
Lone Druid,2.20%,50.13%,"6,551"
Undying,2.17%,50.57%,"14,951"
Tinker,1.82%,54.49%,"5,630"
Puck,1.60%,52.84%,"14,292"
