Hero,Advantage,Win Rate,Matches
Viper,3.77%,50.51%,"2,647"
Naga Siren,3.18%,54.01%,411
Clockwerk,3.07%,52.79%,735
Bane,3.04%,52.23%,672
Winter Wyvern,2.85%,51.57%,"1,018"
Wraith King,2.74%,49.89%,"2,279"
Razor,2.63%,53.75%,"1,053"
Ancient Apparition,2.63%,51.27%,"1,738"
Treant Protector,2.62%,50.55%,"1,191"
Muerta,2.56%,55.29%,870
