Hero,Advantage,Win Rate,Matches
Lycan,6.17%,45.50%,222
Bristleback,4.74%,44.65%,"1,487"
Marci,4.54%,46.77%,883
Slark,3.98%,46.27%,"2,827"
Beastmaster,3.88%,49.57%,230
Weaver,3.06%,48.60%,"1,603"
Tinker,2.70%,49.49%,683
Disruptor,2.51%,47.62%,"1,195"
Meepo,2.31%,42.30%,922
Pugna,2.26%,48.69%,"1,491"
